Our ID,Our Item Type,Item Type,Publication Year,Author,Title,Publication Title,ISSN,DOI,URL,Abstract Note,Date,Pages,Num Pages,Issue,Volume,Publisher,Place,Language,Type,Our Sorting Date,Our Note
56,includedItem,journalArticle,1991,"Camacho, Terry C.;Roberts, Robert E.;Lazarus, Nancy B.;Kaplan, George A.;Cohen, Richard D.",Physical activity and depression: evidence from the Alameda County Study,American Journal of Epidemiology,0002-9262,10.1093/oxfordjournals.aje.a116074,https://doi.org/10.1093/oxfordjournals.aje.a116074,"The relation between level of physical activity and risk of subsequent depression was examined using three waves of data from the Alameda County Study. Among subjects who were not depressed at baseline, those who reported a low activity level were at significantly greater risk for depression at the 1974 follow-up than were those who reported high levels of activity at baseline. Adjustments for physical health, socioeco-nomic status, life events, social supports, and other health habits did not affect the association appreciably. Associations between 1965–1974 changes in activity level and depression in the 1983 follow-up suggest that the risk of depression can be altered by changes in exercise habits, although these associations were not statistically significant after adjustment for covariates. These results provide somewhat stronger evidence for an activity-depression link than do previous studies, and they argue for the inclusion of exercise programs as part of community mental health programs, as well as for further studies that focus on the relation between life-style and mental health. Am J Epidemiol 1991; 134: 220–31.",7/15/1991,220-231,,2,134,,,,,7/15/1991,
57,includedItem,journalArticle,1991,"McNeil, J. Kevin;LeBlanc, Esther M.;Joyner, Marion",The effect of exercise on depressive symptoms in the moderately depressed elderly,Psychology and Aging,"1939-1498(Electronic),0882-7974(Print)",10.1037/0882-7974.6.3.487,,"Thirty community-dwelling, moderately depressed elderly were randomly assigned to 1 of 3 interventions: experimenter-accompanied exercise in the form of walking, a social contact control condition, and a wait-list control. Exercise and social contact both resulted in significant reductions in both the total and the psychological subscale of the Beck Depression Inventory (BDI). The exercise condition, however, unlike the control conditions, resulted in decreased somatic symptoms of the BDI. These results indicate that, at least in the short term, exercise has a broader effect compared with control conditions in reducing depressive symptoms in the moderately depressed elderly. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1991-09,487-488,,3,6,,,,,9/1/1991,
58,includedItem,journalArticle,1991,"Blumenthal, J. A.;Emery, C. F.;Madden, D. J.;Schniebolk, S.;Walsh-Riddle, M.;George, L. K.;McKee, D. C.;Higginbotham, M. B.;Cobb, F. R.;Coleman, R. E.",Long-term effects of exercise on psychological functioning in older men and women,Journal of Gerontology,0022-1422,10.1093/geronj/46.6.p352,,"The purpose of this study was to determine the psychological, behavioral, and cognitive changes associated with up to 14 months of aerobic exercise training. For the first 4 months of the study, 101 older (greater than 60 years) men and women were randomly assigned to one of three conditions: Aerobic exercise, Yoga, or a Waiting List control group. Before and following the intervention, all subjects completed a comprehensive assessment battery, including measures of mood and cognitive functioning. A semi-crossover design was employed such that, following completion of the second assessment, all subjects completed 4 months of aerobic exercise and underwent a third assessment. Subjects were given the option of participating in 6 additional months of supervised aerobic exercise (14 months total), and all subjects, regardless of their exercise status, completed a fourth assessment. Results indicated that subjects experienced a 10-15% improvement in aerobic capacity. In general, there were relatively few improvements in cognitive performance associated with aerobic exercise, although subjects who maintained their exercise participation for 14 months experienced improvements in some psychiatric symptoms. However, the healthy subjects in this study were functioning at a relatively high level to begin with, and exercise training may produce greater improvements among elderly with concomitant physical or emotional impairments.",1991-11,P352-361,,6,46,,,en,,11/1/1991,
59,includedItem,journalArticle,1992,"Brown, S. W.;Welsh, M. C.;Labbé, E. E.;Vitulli, W. F.;Kulkarni, P.",Aerobic exercise in the psychological treatment of adolescents,Perceptual and Motor Skills,0031-5125,10.2466/pms.1992.74.2.555,,"A small group of psychiatrically institutionalized adolescents (16 boys, 11 girls) were assigned to a three-day-per-week running/aerobic exercise program or a regular physical activity class. The complete program continued over 9 weeks, with 11 subjects remaining throughout the program. Dependent measures of body-mass index, timed performance on a one-mile run, resting, exercise, and recovery heart rates, and measures of depression, mood-states, and self-efficacy were assessed pre-, mid-, and post-9-wk. treatment and at a 4-wk. follow-up. Improvements in depression, anxiety, hostility, confused thinking, and fatigue were shown in treated girls, with increases in vigor and self-efficacy for all treated subjects.",1992-04,555-560,,2,74,,,en,,4/1/1992,
60,includedItem,journalArticle,1992,"Weyerer, S.",Physical inactivity and depression in the community: evidence from the Upper Bavarian Field Study,International Journal of Sports Medicine,"0172-4622, 1439-3964",10.1055/s-2007-1021304,http://www.thieme-connect.de.proxy2.library.illinois.edu/DOI/DOI?10.1055/s-2007-1021304,Thieme E-Books & E-Journals,1992-08,492-496,,6,13,,,en,,8/1/1992,
61,includedItem,journalArticle,1992,"Veale, D.;Le Fevre, K.;Pantelis, C.;de Souza, V.;Mann, A.;Sargeant, A.",Aerobic exercise in the adjunctive treatment of depression: a randomized controlled trial,Journal of the Royal Society of Medicine,1410768,,http://www.library.illinois.edu/proxy/go.php?url=http://search.ebscohost.com/login.aspx?direct=true&db=edb&AN=22835716&site=eds-live&scope=site,"Two clinical trials have been conducted in a sample of depressed patients to determine whether the addition of an aerobic exercise programme to their usual treatment improved outcome after 12 weeks. In the first trial, an aerobic exercise group had a superior outcome compared with a control group in terms of trait anxiety and a standard psychiatric interview. A second trial was then conducted to compare an aerobic exercise programme with low intensity exercise. Both groups showed improvement but there were no significant differences between the groups. In neither trial was there any correlation between the extent of change in the subjects' physical fitness due to aerobic exercise and the extent of the improvement of psychiatric scores.",1992-09,541-544,,9,85,,,,,9/1/1992,
62,includedItem,journalArticle,1993,"Norvell, N.;Belles, D.",Psychological and physical benefits of circuit weight training in law enforcement personnel,Journal of Consulting and Clinical Psychology,0022-006X,10.1037//0022-006x.61.3.520,,"The effects of circuit weight training on mood, perceived stress, job satisfaction, and physical symptoms were investigated in a sample of state law enforcement officers. Forty-three male officers who were not regularly exercising were assigned to either 4 months of circuit weight training or a wait-list control condition. Four months of circuit weight training led to a significant increase in strength on cardiovascular fitness. Subjects also demonstrated significant improvements in mood, including decreases in somatization, anxiety, depression, and hostility. Circuit weight training also resulted in a decrease in reports of physical symptoms and in improvements in job satisfaction. Results indicated that subjects who dropped out of the exercise training program evidenced significantly greater anxiety, depression, and hostility at pretreatment than subjects who completed the program. These findings suggest that circuit weight training programs may contribute to important psychological benefits.",1993-06,520-527,,3,61,,,en,,6/1/1993,
63,includedItem,journalArticle,1993,"Khumar, S. S.;Kaur, Paramjit;Kaur, Sarabjit",Effectiveness of Shavasana on depression among university students,Indian Journal of Clinical Psychology,0303-2582(Print),,,"Examined the effectiveness of Shavasana (a type of yoga exercise) as a therapeutic technique to alleviate depression. 50 female university students were diagnosed with severe depression; 25 were subjected to 30 sessions of Shavasana, and 25 served as controls. Results reveal that (1) Shavasana was an effective technique for alleviating depression and (2) continuation of the treatment for a longer period resulted in a significantly increased positive change in the Ss. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1993-09,82-87,,2,20,,,,,9/1/1993,
64,includedItem,journalArticle,1994,"Paffenbarger, R. S.;Lee, I.-M.;Leung, R.",Physical activity and personal characteristics associated with depression and suicide in American college men,Acta Psychiatrica Scandinavica,0001690X,10.1111/j.1600-0447.1994.tb05796.x,http://www.library.illinois.edu/proxy/go.php?url=http://search.ebscohost.com/login.aspx?direct=true&db=edb&AN=63182867&site=eds-live&scope=site,,2/2/1994,16-22,,Suppl 377,89,,,en,,2/2/1994,
65,includedItem,journalArticle,1994,"Koniak‐Griffin, Deborah","Aerobic exercise, psychological well-being, and physical discomforts during adolescent pregnancy",Research in Nursing & Health,1098-240X,10.1002/nur.4770170404,http://onlinelibrary.wiley.com/doi/abs/10.1002/nur.4770170404,"The effects of participation in a 6-week aerobic exercise program (AEP) on pregnant adolescents' depression, self-esteem, and physical discomforts of pregnancy were examined. The sample was comprised of 58 ethnically diverse subjects ranging in age from 14 to 20 years. Subjects in the AEP were observed to have a significant decrease in depressive symptoms over time and an increase in total self-esteem; those in the comparison group reported a significant increase in physical discomforts associated with pregnancy. These findings suggest that exercise programs such as the AEP should be considered an important aspect of prenatal self-care for healthy pregnant adolescents.",1994-08,253-263,,4,17,,,en,,8/1/1994,
66,includedItem,journalArticle,1996,"Brown, David R.;Croft, Janet B.;Anda, Robert F.;Barrett, Drue H.;Escobedo, Luis G.",Evaluation of smoking on the physical activity and depressive symptoms relationship,Medicine & Science in Sports & Exercise,0195-9131,10.1097/00005768-199602000-00012,https://journals.lww.com/acsm-msse/Fulltext/1996/02000/Evaluation_of_smoking_on_the_physical_activity_and.12.aspx,"Physical activity is inversely associated with depressive symptoms, and cigarette smoking is positively associated with depressive symptoms. Data from the first National Health and Nutrition Examination Survey (NHANES I) and the NHANES I Epidemiologic Follow-up study were analyzed to determine whether the relationship between physical activity and self-reported distress (depressive symptoms as measured by the Center for Epidemiologic Studies Depression Scale) was different for cigarette smokers and nonsmokers. Logistic regression was used to calculate odds ratios (adjusted for age, race, sex, education, alcohol use, and perceived health status) for depressive symptoms (≥16) associated with physical activity and smoking status among 2,054 respondents. At baseline, the odds ratio for depressive symptoms was about 2 times higher for moderately active smokers and nonsmokers, and 3 times higher for low active smokers and nonsmokers, compared with highly active nonsmokers. For 1,132 persons with a low number of depressive symptoms (<16) at baseline, the incidence of depressive symptoms after 7-9 yr of follow-up was about 2 times higher for low/moderately active smokers and nonsmokers than for highly active nonsmokers. The association between physical activity and the prevalence and incidence of depressive symptoms is not significantly modified by smoking status.",1996-02,233-240,,2,28,,,en-US,,2/1/1996,
67,includedItem,journalArticle,1996,"Mobily, K.e. ( 1 );Rubenstein, L.m. ( 2 );Lemke, J.h. ( 2 );Wallace, R.b. ( 2 );O'Hara, M.w. ( 3 )",Walking and depression in a cohort of older adults: the Iowa 65+ Rural Health Study,Journal of Aging and Physical Activity,10638652,10.1123/japa.4.2.119,http://www.library.illinois.edu/proxy/go.php?url=http://search.ebscohost.com/login.aspx?direct=true&db=edselc&AN=edselc.2-52.0-0000214458&site=eds-live&scope=site,,1996-04,119-135,,2,4,,,en,,4/1/1996,
68,includedItem,journalArticle,1996,"Banerjee, Sube;Shamash, K;Macdonald, Alastair;Mann, Anthony",Randomised controlled trial of effect of intervention by Psychogeriatric team on depression in frail elderly people at home,BMJ (Clinical research ed.),,10.1136/bmj.313.7064.1058,,"To investigate the efficacy of intervention by a psychogeriatric team in the treatment of depression in elderly disabled people receiving home care from their local authority. Randomised controlled trial with blind follow up six months after recruitment. Community of south east London. 69 people aged 65 or over who received home care and were depressed according to criteria of the standardised automatic geriatric examination for computer assisted taxonomy (AGECAT). 33 were randomly allocated to an intervention group and 36 to a control group. Members of the intervention group received an individual package of care that was formulated by the community psychogeriatric team in their catchment area and implemented by a researcher working as a member of that team. The control group received normal general practitioner care. Recovery from depression (AGECAT case at recruitment but non-case at follow up). Data were analysed on an intention to treat basis. 19 (58%) of the intervention group recovered compared with only nine (25%) of the control group, a difference of 33% (95% confidence interval 10% to 55%). This powerful treatment effect persisted after controlling for possible confounders in logistic regression analysis, with members of the intervention group more likely than members of the control group to have recovered at follow up (odds ratio 9.0 (2.0 to 41.5)). This did not seem to be a simple effect of antidepressant prescription: use of antidepressants at follow up did not have a significant effect (multiply adjusted odds ratio 0.3 (0.0 to 1.9)). Depression is treatable in elderly people receiving home care. Therapeutic nihilism based on an assumed poor response to treatment in these socially isolated, disabled elderly people in the community is not supported.",11/1/1996,1058-61,,,313,,,,,11/1/1996,
69,includedItem,journalArticle,1997,"Singh, Nalin A.;Clements, Karen M.;Fiatarone, Maria A.",A randomized controlled trial of progressive resistance training in depressed elders,The Journals of Gerontology: Series A,1079-5006,10.1093/gerona/52A.1.M27,https://doi.org/10.1093/gerona/52A.1.M27,"Background. Depression in elderly people may be contributed to by the multiple losses of aging. Exercise has the potential to positively impact many of these losses simultaneously. We tested the hypothesis that progressive resistancetraining (PRT) would reduce depression while improving physiologic capacity, quality of life, morale, function and selfefficacy without adverse events in an older, significantly depressed population.Methods. We conducted a 10-week randomized controlled trial of volunteers aged 60 and above with major or minor depression or dysthymia. Subjects were randomized for 10 weeks to either a supervised PRT program three times a weekor an attention-control group.Results. A total of 32 subjects aged 60–84, mean age 71.3 ± 1.2 yr, were randomized and completed the study. Nosignificant adverse events occurred. Median compliance was 95%. PRT significantly reduced all depression measures(Beck Depression Inventory in exercisers 21.3 ± 1.8 to 9.8 ± 2.4 versus controls 18.4 ± 1.7 to 13.8 ± 2, p = .002;Hamilton Rating Scale of Depression in exercisers 12.3 ± 0.9to5.3 ± 1.3 versus controls 11.4 ± 1.0to8.9 ± 1.3,p =.008). Quality of life subscales of bodily pain (p = .001), vitality (p = .002), social functioning (p = .008), and roleemotional (p = .02) were all significantly improved by exercise compared to controls. Strength increased a mean of 33%± 4% in exercisers and decreased 2% ± 2% in controls (p &lt; .0001). In a multiple stepwise regression model, intensity oftraining was a significant independent predictor of decrease in depression scores (r2 =.617, p = .0002).Conclusions. PRT is an effective antidepressant in depressed elders, while also improving strength, morale, andquality of life.",1/1/1997,M27-M35,,1,52A,,,,,1/1/1997,
70,includedItem,journalArticle,1997,"Singh, Nalin A.;Clements, Karen M.;Fiatarone, Maria A.",A randomized controlled trial of the effect of exercise on sleep,Sleep,0161-8105,10.1093/sleep/20.2.95,https://doi.org/10.1093/sleep/20.2.95,"We tested the hypothesis that exercise would improve subjective sleep quality and activity in depressed elders. A 10-week randomized controlled trial was utilized. Participants consisted of a volunteer sample, aged &gt;60 with a diagnosis of major or minor depression or dysthymia. A total of 32 subjects aged 60-84 years with a mean age of 71.3 ± 1.2 years was used. Intervention consisted of a supervised weight-training program three times a week or an attention-control group. Main outcome measures were Pittsburgh Subjective Sleep Quality Index (PSQI), Likert Scale of Subjective Sleep Quality and Quantity, Paffenbarger Activity Index, Geriatric Depression Scale (GDS), Beck Depression Inventory (BDI), Hamilton Rating Scale of Depression (HRSD), and the Medical Outcomes Survey Short Form 36 (SF-36). Results showed that exercise significantly improved all subjective sleep-quality and depression measures. Depression measures were reduced by approximately twice that of controls. Habitual activity was not significantly increased by exercise. Quality of life subscales significantly improved. In a forward stepwise multiple regression, percent improvement in GDS and percent increase in strength remained significant predictors of the improvement in total PSQI score (r = 0.71, p = 0.0002). In conclusion, weight lifting exercise was effective in improving subjective sleep quality, depression, strength, and quality of life without significantly changing habitual activity.",2/1/1997,95-101,,2,20,,,,,2/1/1997,
71,includedItem,journalArticle,1997,"Cooper-Patrick, Lisa;Ford, Daniel E.;Mead, Lucy A.;Chang, Patricia P.;Klag, Michael J.",Exercise and depression in midlife: a prospective study,American Journal of Public Health,900036,10.2105/AJPH.87.4.670,http://www.library.illinois.edu/proxy/go.php?url=http://search.ebscohost.com/login.aspx?direct=true&db=bsu&AN=9705292388&site=eds-live&scope=site,Objectives. This study examined the relationship of self-reported physical activity with subsequent depression and psychiatric distress. Methods. Physical activity was assessed in medical school and midlife in 973 physicians as part of a prospective observational study. Outcome measures were the incidence of self-reported clinical depression and psychiatric distress on the General Health Questionnaire. Results. The risk of depression was similar for nonexercisers and exercisers. No relationship was observed between physical activity level and subsequent psychiatric distress. Conclusions. This study found no evidence that exercise reduces risk for depression or psychiatric distress.,1997-04,670-673,,4,87,,,,,4/1/1997,
72,includedItem,journalArticle,1997,"Geliebter, A;Maher, M M;Gerace, L;Gutin, B;Heymsfield, S B;Hashim, S A","Effects of strength or aerobic training on body composition, resting metabolic rate, and peak oxygen consumption in obese dieting subjects",The American Journal of Clinical Nutrition,0002-9165,10.1093/ajcn/66.3.557,https://doi.org/10.1093/ajcn/66.3.557,"Given that resting metabolic rate (RMR) is related largely to the amount of fat-free mass (FFM), the hypothesis was that strength training, which stimulates muscle hypertrophy, would help preserve both FFM and RMR during dieting. In a randomized controlled intervention trial, moderately obese subjects (aged 19-48 y) were assigned to one of three groups: diet plus strength training, diet plus aerobic training, or diet only. Sixty-five subjects (25 men and 40 women) completed the study. They received a formula diet with an energy content of 70% of RMR or 5150 +/- 1070 kJ/d (x +/- SD) during the 8-wk intervention. They were seen weekly for individual nutritional counseling. Subjects in the two exercise groups, designed to be isoenergetic, trained three times per week under supervision. Those in the strength-training group performed progressive weight-resistance exercises for the upper and lower body. Those in the aerobic group performed alternate leg and arm cycling. After 8 wk, the mean amount of weight lost, 9.0 kg, did not differ significantly among groups. The strength-training group, however, lost significantly less FFM (P &lt; 0.05) than the aerobic and diet-only groups. The strength-training group also showed significant increases (P &lt; 0.05) in anthropometrically measured flexed arm muscle mass and grip strength. Mean RMR declined significantly, without differing among groups. Peak oxygen consumption increased the most for the aerobic group (P = 0.03). In conclusion, strength training significantly reduced the loss of FFM during dieting but did not prevent the decline in RMR.",9/1/1997,557-563,,3,66,,,,,9/1/1997,
73,includedItem,thesis,1997,"Collier, Christopher Dwayne","Isotonic Resistance Training Related to Functional Fitness, Physical Self-efficacy, and Depression in Adults Ages 65-85",,,,https://shareok.org/handle/11244/33240,,12/1/1997,,,,,Oklahoma State University,,en-US,Ph.D.,12/1/1997,
74,includedItem,journalArticle,1998,"Morgan, Kevin;Bath, Peter A.",Customary physical activity and psychological wellbeing: a longitudinal study,Age and Ageing,0002-0729,10.1093/ageing/27.suppl_3.35,https://doi.org/10.1093/ageing/27.suppl_3.35,"Objectives: To assess longitudinal relationships between habitual levels of physical activity and indices of psychological wellbeing in older people.Design: Baseline assessment with 4- and 8-year follow-ups.Subjects: 1042 people originally aged 65 and over randomly sampled from general practitioner lists in Nottingham, UK.Methods: Logistic regression analysis of selected T1 (1985) and T2 (i989) variables, with depression at T2 as dependent; multiple regression analyses of selected T1, T2 and T3 (1993) variables, with life satisfaction at T2 (model 1) or T3 (model 2) as dependent.Main outcome measures: Questionnaire-assessed levels of physical activity; 14-item Symptoms of Anxiety and Depression scale; 13-item Life Satisfaction Index; health, demographic and social activity variables. Results: In the logistic regression model, depression at T2 was most strongly associated with depression [odds ratio (OR) = 7.13; 95% confidence interval (CI) = 3.25–15.64; P &lt; 0.001] and lower physical health status (OR = 1.26 per unit change in score; 95% CI = 1.17–1.42; P &lt;0.001) at T1. Lower levels of outdoor/leisure activities at T1 were also associated with some increased risk of depression 4 years later (OR = 0.92 per hour of activity; 95% CI = 0.85–0.99; P &lt; 0.05). Similar predictive patterns emerged from the multiple regression analyses where, in both models, earlier levels of life satisfaction, social engagement and health accounted for most of the explained variance in life satisfaction ( R2 = 0.42 for model 1; R2 = 0.35 for model 2). Again, however, earlier levels of physical activity (as walking and housework) did contribute significantly, although modestly, to longitudinal changes in morale. Conclusions: While the results provide some support for the conclusion that physical activity contributes independently to the promotion and maintenance of psychological wellbeing in later life, this contribution is, at best, extremely modest.",1998-01,35-40,,suppl_3,27,,,,,1/1/1998,
75,includedItem,journalArticle,1999,"O’Reilly, Sheila C.;Muir, Ken R.;Doherty, Michael",Effectiveness of home exercise on pain and disability from osteoarthritis of the knee: a randomised controlled trial,Annals of the Rheumatic Diseases,"0003-4967, 1468-2060",10.1136/ard.58.1.15,https://ard-bmj-com.proxy2.library.illinois.edu/content/58/1/15,"OBJECTIVE To assess the effect of a home based exercise programme, designed to improve quadriceps strength, on knee pain and disability. Methods—191 men and women with knee pain aged 40–80 were recruited from the community and randomised to exercise (n=113) or no intervention (n=78). The exercise group performed strengthening exercises daily for six months. The primary outcome measure was change in knee pain (Western Ontario McMaster Osteoarthritis index (WOMAC)). Secondary measures included visual analogue scales (VAS) for pain on stairs and walking and WOMAC physical function scores. Results—WOMAC pain score reduced by 22.5% in the exercise group and by 6.2% in the control group (between group difference p<0.05, unpairedt test).VAS scores for pain also reduced in the exercise group compared with the control group (p<0.05). Physical function scores reduced by 17.4% in the exercise group and were unchanged in controls (p<0.05). Conclusion—A simple programme of home quadriceps exercises can significantly improve self reported knee pain and function.",1/1/1999,15-19,,1,58,,,en,,1/1/1999,
76,includedItem,journalArticle,1999,"Chen, Jiajian;Millar, Wayne J.",Health effects of physical activity,Health Reports,0840-6529,,,"OBJECTIVES: This article examines the potential protective effect of leisure-time physical activity on the incidence of heart disease and depression. DATA SOURCE: The data are from the household longitudinal component of the 1994/95 and 1996/97 cycles of the National Population Health Survey, conducted by Statistics Canada. Results are based on two subsamples: 7,158 respondents aged 20 or older who were healthy and free of heart disease in 1994/95, and 7,593 respondents aged 12 or older who were healthy and free of depression in 1994/95. ANALYTICAL TECHNIQUES: Multiple logistic regression was used to estimate the effects of leisure-time physical activity on the incidence of heart disease and depression, while controlling for selected characteristics. MAIN RESULTS: Individuals who were healthy and free of heart disease or depression in 1994/95 and who engaged in regular physical activity at a moderate level of energy expenditure had lower odds of reporting a diagnosis of heart disease or an episode of depression in 1996/97 than those who were less active.",1999,21-30(Eng); 21-31(Fre),,1,11,,,"en, fr",,6/15/1999,
77,includedItem,journalArticle,1999,"Blumenthal, James A.;Babyak, Michael A.;Moore, Kathleen A.;Craighead, W. Edward;Herman, Steve;Khatri, Parinda;Waugh, Robert;Napolitano, Melissa A.;Forman, Leslie M.;Appelbaum, Mark;Doraiswamy, P. Murali;Krishnan, K. Ranga",Effects of exercise training on older patients with major depression,Archives of Internal Medicine,0003-9926,10.1001/archinte.159.19.2349,http://archinte.jamanetwork.com/article.aspx?doi=10.1001/archinte.159.19.2349,,10/1/1999,2349-2356,,19,159,,,en,,10/1/1999,
78,includedItem,journalArticle,1999,"Damush, Teresa M.;Damush, Joseph G., Jr.",The effects of strength training on strength and health-related quality of life in older adult women,The Gerontologist,0016-9013,10.1093/geront/39.6.705,https://doi.org/10.1093/geront/39.6.705,"The short-term effects of an accessible exercise intervention on the strength and health-related quality of life (HRQOL) among older adult women were evaluated. We conducted an 8-week resistance training intervention utilizing elastic bands in 62 community-dwelling women with a mean age of 68 years. Participants were randomly assigned to either an exercise or a control group. Pre- and postintervention assessments included strength tests and HRQOL. Results revealed significant increases in three major muscles compared to the control group. However, there were no significant changes on either mental or physical health functioning. The elastic bands provide older adult women with an inexpensive, practical exercise program that effectively increases strength within 8 weeks but may have little effect on self-reported HRQOL.",12/1/1999,705-710,,6,39,,,,,12/1/1999,
79,includedItem,journalArticle,2000,"Janakiramaiah, N.;Gangadhar, B. N.;Naga Venkatesha Murthy, P. J.;Harish, M. G.;Subbakrishna, D. K.;Vedamurthachar, A.",Antidepressant efficacy of Sudarshan Kriya Yoga (SKY) in melancholia: a randomized comparison with electroconvulsive therapy (ECT) and imipramine,Journal of Affective Disorders,0165-0327,10.1016/S0165-0327(99)00079-8,http://www.sciencedirect.com/science/article/pii/S0165032799000798,"Background: Sudarshan Kriya Yoga (SKY) is a procedure that involves essentially rhythmic hyperventilation at different rates of breathing. The antidepressant efficacy of SKY was demonstrated in dysthymia in a prospective, open clinical trial. This study compared the relative antidepressant efficacy of SKY in melancholia with two of the current standard treatments, electroconvulsive therapy (ECT) and imipramine (IMN). Methods: Consenting, untreated melancholic depressives (n=45) were hospitalized and randomized equally into three treatment groups. They were assessed at recruitment and weekly thereafter for four weeks. Results: Significant reductions in the total scores on Beck Depression Inventory (BDI) and Hamilton Rating Scale for Depression (HRSD) occurred on successive occasions in all three groups. The groups, however, did not differ. Significant interaction between the groups and occasion of assessment occurred. At week three, the SKY group had higher scores than the ECT group but was not different from the IMN group. Remission (total HRSD score of seven or less) rates at the end of the trial were 93, 73 and 67% in the ECT, IMN and SKY groups, respectively. No clinically significant side effects were observed. Discussion: Within the limitations of the design (lack of double blind conditions), it can be concluded that, although inferior to ECT, SKY can be a potential alternative to drugs in melancholia as a first line treatment.",1/1/2000,255-259,,1,57,,,en,,1/1/2000,
80,includedItem,journalArticle,2000,"Rohini, Vangala;Pandey, Ravi S.;Janakiramaiah, N.;Gangadhar, B. N.;Vedamurthachar, A.",A comparative study of full and partial Sudarshan Kriya Yoga (SKY) in major depressive disorder,NIMHANS Journal,0254-0886(Print),,,"Compared the effects of partial and full Sudarshan Kriya Yoga (SKY) treatment on major depressive disorder. 15 individuals (mean age 29.5 yrs) with major depressive disorder received daily full SKY treatment for 4 wks; 15 other individuals (mean age 34.2 yrs) with major depressive disorder received daily partial SKY treatment. All Ss completed the Beck Depression Inventory (BDI) and the Beck Anxiety Inventory weekly. Results show that the depression and anxiety scores of Ss in both groups decreased significantly and equally following treatment. 12 of the full SKY group and 7 of the partial SKY group achieved a reduction of 50%+ in total BDI scores. It is concluded that partial SKY and full SKY are equipotent with regard to their antidepressant and antianxiety effects in patients with major depressive disorder. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",2000-04,53-57,,2-Jan,18,,,,,4/1/2000,
81,includedItem,journalArticle,2000,"Pinchasov, B. B.;Shurgaja, A. M.;Grischin, O. V.;Putilov, A. A.",Mood and energy regulation in seasonal and non-seasonal depression before and after midday treatment with physical exercise or bright light,Psychiatry Research,0165-1781,10.1016/s0165-1781(00)00138-4,,"The effects of two non-drug treatments (physical exercise and bright light) on mood, body weight and oxygen consumption were compared in age-matched groups of female subjects with winter depression, non-seasonal depression or without depression. It was found that oxygen consumption in the pre-treatment condition was similar in non-depressed subjects (n=18) and depressed non-seasonals (n=18), while comparatively lower values were obtained in winter depression (n=27). Neither mood nor metabolic parameters changed significantly in the group of nine untreated winter depressives. One week of physical exercise (1-h pedaling on a bicycle ergometer between 13.00 and 14.00 h) increased oxygen consumption in the group of nine winter depressives and lowered oxygen consumption in nine-subject groups of depressed and non-depressed non-seasonals. One week of bright light treatment (2-h exposure to 2500 lux between 14.00 and 16.00 h) increased oxygen consumption in nine winter depressives and nine non-depressed subjects, while no significant change in oxygen consumption was found in nine subjects with non-seasonal depression. Weight loss was observed in the groups treated with physical exercise and in the group of light-treated winter depressives. Winter depression responded equally well to exercising and light, while a significant therapeutic difference in favor of exercising was found in non-seasonal depression. Overall, the results of the study suggest that energy-regulating systems are implicated in the antidepressant action of the non-drug treatments.",4/24/2000,29-42,,1,94,,,en,,4/24/2000,
82,includedItem,journalArticle,2000,"Lampinen, Päivi;Heikkinen, Riitta-Liisa;Ruoppila, Isto",Changes in intensity of physical exercise as predictors of depressive symptoms among older adults: an eight-year follow-up,Preventive Medicine,0091-7435,10.1006/pmed.2000.0641,http://www.sciencedirect.com/science/article/pii/S0091743500906418,"Background. Epidemiological research suggests that regular physical activity may be associated with reduced depressive symptoms. The present study examines the predictive value of physical exercise in relation to depressive symptoms among samples of adults aged 65+ during an 8-year period. Methods. The subjects (N = 663) who participated both at the baseline (1988) and the follow-up (1996) interviews were selected for the analyses. The dependent variable depressive symptoms was assessed by the Finnish modified version of Beck's 13-item depression scale. The independent variable was the intensity of physical exercise. Results. The intensity of physical exercise decreased among the older men and women. Those who had reduced their intensity of physical exercise during the 8 years reported more depressive symptoms at the follow-up than those who had remained active or in creased their physical activity. Depressive symptoms were predicted by the intensity of baseline physical exercise, earlier depressive symptoms, older age, gender, having three or more chronic somatic conditions, and difficulties in performing ADL activities. Conclusions. Age-related decrease in the intensity of physical exercise increases the risk of depressive symptoms among older adults. This calls for effective measures in maintaining and supporting an adequate level of physical exercise among the aging population.",5/1/2000,371-380,,5,30,,,en,,5/1/2000,
